"40 км (ОП.)","О ","Октябрьская",32317,,,
"445 км (ПП.)","О ","Московская",204516,"Навля-21, Арбузово-88",,
"48 км (ОП.)","О ","Октябрьская",41091,,,
"5 км (ОП.)","О ","Октябрьская",37043,,,
"50 км (рзд.)","О ","""ФГУП """"КЖД""""""",869111,"Джанкой-50, Владиславовка-51",,
"511 км (ПП.)","О ","Московская",204817,"Навля-87, Арбузово-22",,
"5234 км (ОП.)","О ","Восточно-Сибирская",932974,,"Иркутск-Пассажирский - 48 км, Улан-Удэ - 408 км",
"530 км (ПП.)","Х ","Московская",208216,"ТП",,
"554 км (ОП.)","О ","Восточно-Сибирская",925720,,"Тайшет - 554 км Лена-Восточная - 180 км",
"59 км (ПП.)","О ","Московская",220025,"Узуново-59, Рыбное-10",,
"59 км (ОП.)","О ","Октябрьская",22226,,,
"63 км (ОП.)","О ","Октябрьская",59057,,,
"648 км (ОП.)","О ","Октябрьская",70018,,,
"649 км (ОП.)","О ","Восточно-Сибирская",926878,,"Тайшет - 649 км, Лена-Восточная - 85 км",
"680 км (ОП.)","О ","Восточно-Сибирская",927181,,,
"684 км (ОП.)","О ","Октябрьская",70018,,,
"712 км (ОП.)","О ","Горьковская",267134,,"Нижний Новгород - 281, Котельнич I - 97",
"72 км (рзд.)","Х ","Забайкальская",943822,"Борзя-111","Карымская 136 км Борзя 11 км",
"72 км (ОП.)","О ","Октябрьская",39759,,,
"79 км (ОП.)","О ","Восточно-Сибирская",933549,,,
"80 км (ОП.)","О ","Октябрьская",58942,,,
"81 км (ПП.)","О ","Московская",236324,"ТП",,
"83 км (рзд.)","Х ","Забайкальская",945419,"Борзя-54","Борзя 54 км, Забайкальск (эксп.) 65 км",
"8З км (ОП.)","О ","Октябрьская",63724,,,
"9 км (ОП.)","О ","Горьковская",254924,,,
"90 км (ОП.)","О ","Октябрьская",58834,,,
"93 км (ОП.)","О ","Октябрьская",44988,,,
"98 км (ОП.)","О ","Восточно-Сибирская",933534,,"Слюдянка I - 69 км, Байкал - 25 км",
"9З4 км (ОП.)","О ","Горьковская",253712,,,
"Абабково (ОП.)","О ","Горьковская",269116,,,
"Абагур-Лесной","Б 3","Западно-Сибирская",864300,"Новокузнецк-Восточный-4, Томусинская-24",,
"Абагуровский (рзд.)","О ","Западно-Сибирская",865065,"Новокузнецк-Восточный-3",,
"Абадзехская","П 1","Северо-Кавказская",535004,"Армавир-Ростовский-159, Туапсе-Сортировочная-177",,
"Абаевский","Б ","Свердловская",795736,"Войновка-97",,
"Абаза","П 1,3","Красноярская",887500,"Тигей-144, Томусинская-323",,
"Абаза (эксп.)",,"Красноярская",887406,"Тигей-144, Томусинская-323",,
"Абазинка","О 3","Северо-Кавказская",531107,"Армавир-Ростовский-136, Прохладная-267",,
"Абакан (перев.)",,"Красноярская",888108,"Тигей-24, Саянская-398",,
"Абакан","П 1,2,3,4,8,8Н,10,10Н,11Н,12Н","Красноярская",888004,"Тигей-24, Саянская-398",,
"Абакумовка (рзд.)","О 3","Красноярская",889401,"Тайшет-140, Саянская-109",,
"Абалаково","О 3","Красноярская",882309,"Ачинск I-252",,
"Абганерово","Б 1,3","Приволжская",612408,"Волгоград II-83, Куберле-211",,
"Абдикеево (ОП.)","О ","Куйбышевская",647248,,,
"Абдулино","Б 1,3,4","Куйбышевская",659902,"Кинель-233, Чишмы-202",,
"Абинская","П 1,3,4,8Н,10Н,11Н,12Н","Северо-Кавказская",523505,"Краснодар I-74, Крымская-12",,
"Абово (ОП.)","О ","Октябрьская",66510,,,
"Абрамиха (ОП.)","О ","Восточно-Сибирская",934582,,"Иркутск-Пассажирский - 323 км, Улан-Удэ - 133 км",
"Абрамовка","П 1,3,4","Юго-Восточная",583600,"Лиски-121, Поворино-104",,
"Абрамцево (ОП.)","О ","Московская",236057,,,
"Абросимово (ОП.)","О ","Северная",306813,,,
"Абросово","Б ","Октябрьская",43010,"Кабожа-27, Сонково-173",,
"Аван","О ","Дальневосточная",972064,"Хабаровск I-138, Сибирцево-448",,
"Авангард (ОП.)","О ","Московская",190213,,,
